1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,A,B,C,D,E,F,G,H,I,J,K
2014-2015,19,64733,127886,Los Angeles,Los Angeles Unified,City Language Immersion Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1538,Directly funded,Y,K,5,157,67,42.70%,84,53.50%,150,66,44.00%,80,53.30%,Y
2014-2015,19,64733,127894,Los Angeles,Los Angeles Unified,Valor Academy High,Unified School District,High Schools (Public),Traditional,,Y,1539,Directly funded,Y,9,12,211,152,72.00%,188,89.10%,211,152,72.00%,188,89.10%,Y
2014-2015,19,64733,127910,Los Angeles,Los Angeles Unified,Camino Nuevo High No. 2,Unified School District,High Schools (Public),Traditional,,Y,1540,Directly funded,Y,9,12,469,425,90.60%,451,96.20%,457,414,90.60%,440,96.30%,Y
2014-2015,19,64733,127936,Los Angeles,Los Angeles Unified,PREPA TEC - Los Angeles,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1542,Directly funded,Y,6,8,238,195,81.90%,222,93.30%,238,195,81.90%,222,93.30%,Y
2014-2015,19,64733,127977,Los Angeles,Los Angeles Unified,Metro Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1535,Directly funded,Y,K,5,145,78,53.80%,89,61.40%,137,76,55.50%,86,62.80%,Y
2014-2015,19,64733,127985,Los Angeles,Los Angeles Unified,Ingenium Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2                                       ,Y,1536,Directly funded,Y,6,8,149,116,77.90%,137,91.90%,149,116,77.90%,137,91.90%,Y
2014-2015,19,64733,128025,Los Angeles,Los Angeles Unified,Lashon Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1560,Directly funded,Y,K,6,104,76,73.10%,93,89.40%,100,73,73.00%,89,89.00%,Y
2014-2015,19,64733,128033,Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 8,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1531,Directly funded,Y,6,8,132,104,78.80%,125,94.70%,132,104,78.80%,125,94.70%,Y
2014-2015,19,64733,128041,Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 9,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1532,Directly funded,Y,6,8,141,124,87.90%,137,97.20%,141,124,87.90%,137,97.20%,Y
2014-2015,19,64733,128058,Los Angeles,Los Angeles Unified,Alliance College-Ready Middle Academy 12,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1533,Directly funded,Y,6,8,278,254,91.40%,278,100.00%,278,254,91.40%,278,100.00%,Y
2014-2015,19,64733,128116,Los Angeles,Los Angeles Unified,Global Education Academy Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1561,Directly funded,Y,6,8,137,125,91.20%,135,98.50%,137,125,91.20%,135,98.50%,Y
2014-2015,19,64733,128132,Los Angeles,Los Angeles Unified,Extera Public School No. 2,Unified School District,Elementary Schools (Public),Traditional,,Y,1562,Directly funded,Y,K,5,177,146,82.50%,158,89.30%,161,133,82.60%,143,88.80%,Y
2014-2015,19,64733,128355,Los Angeles,Los Angeles Unified,The Incubator,Unified School District,K-12 Schools (Public),Traditional,,N,,,N,6,12,116,39,33.60%,46,39.70%,116,39,33.60%,46,39.70%,Y
2014-2015,19,64733,128371,Los Angeles,Los Angeles Unified,New Horizons Charter Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1567,Directly funded,Y,K,8,196,135,68.90%,157,80.10%,195,135,69.20%,157,80.50%,Y
2014-2015,19,64733,128389,Los Angeles,Los Angeles Unified,"Ivy Bound Academy Math, Science, and Technology Charter Middle #2",Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1570,Directly funded,Y,5,8,152,75,49.30%,94,61.80%,152,75,49.30%,94,61.80%,Y
2014-2015,19,64733,128512,Los Angeles,Los Angeles Unified,KIPP Academy of Innovation,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1586,Directly funded,Y,5,8,105,69,65.70%,96,91.40%,105,69,65.70%,96,91.40%,Y
2014-2015,19,64733,128710,Los Angeles,Los Angeles Unified,Dr. Sammy Lee Medical and Health Science Magnet Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2                                       ,N,,,N,K,5,516,385,74.60%,447,86.60%,516,385,74.60%,447,86.60%,Y
2014-2015,19,64733,129270,Los Angeles,Los Angeles Unified,Animo Mae Jemison Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1624,Directly funded,Y,6,8,117,109,93.20%,115,98.30%,117,109,93.20%,115,98.30%,Y
2014-2015,19,64733,129379,Los Angeles,Los Angeles Unified,Westside Innovative School House Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1627,Directly funded,Y,7,8,33,11,33.30%,17,51.50%,33,11,33.30%,17,51.50%,Y
2014-2015,19,64733,129460,Los Angeles,Los Angeles Unified,KIPP Vida Preparatory Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1587,Directly funded,Y,K,4,225,185,82.20%,214,95.10%,225,185,82.20%,214,95.10%,Y
2014-2015,19,64733,129536,Los Angeles,Los Angeles Unified,Boyle Heights STEM High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,62,53,85.50%,54,87.10%,62,53,85.50%,54,87.10%,Y
2014-2015,19,64733,129585,Los Angeles,Los Angeles Unified,NAVA College Preparatory Academy,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,274,250,91.20%,254,92.70%,274,250,91.20%,254,92.70%,Y
2014-2015,19,64733,129593,Los Angeles,Los Angeles Unified,PUC Inspire Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1626,Directly funded,Y,6,8,101,71,70.30%,87,86.10%,101,71,70.30%,87,86.10%,Y
2014-2015,19,64733,129619,Los Angeles,Los Angeles Unified,PUC Community Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,,Y,1657,Directly funded,Y,K,5,180,92,51.10%,123,68.30%,169,85,50.30%,115,68.00%,Y
2014-2015,19,64733,129627,Los Angeles,Los Angeles Unified,TEACH Tech Charter High,Unified School District,High Schools (Public),Traditional,,Y,1658,Directly funded,Y,9,12,96,76,79.20%,86,89.60%,96,76,79.20%,86,89.60%,Y
2014-2015,19,64733,129775,Los Angeles,Los Angeles Unified,Banning Academies of Creative and Innovative Sciences (BACIS),Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,505,312,61.80%,340,67.30%,505,312,61.80%,340,67.30%,Y
2014-2015,19,64733,129825,Los Angeles,Los Angeles Unified,Clemente Charter,Unified School District,Elementary Schools (Public),Traditional,,Y,1640,Directly funded,Y,K,6,150,128,85.30%,147,98.00%,127,109,85.80%,125,98.40%,Y
2014-2015,19,64733,129833,Los Angeles,Los Angeles Unified,Global Education Academy 2,Unified School District,Elementary Schools (Public),Traditional,,Y,1641,Directly funded,Y,K,5,35,27,77.10%,33,94.30%,31,25,80.60%,30,96.80%,Y
2014-2015,19,64733,129858,Los Angeles,Los Angeles Unified,Everest Value,Unified School District,Elementary Schools (Public),Traditional,,Y,1638,Directly funded,Y,K,8,170,149,87.60%,167,98.20%,169,148,87.60%,166,98.20%,Y
2014-2015,19,64733,129866,Los Angeles,Los Angeles Unified,Village Charter Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1639,Directly funded,Y,K,5,135,80,59.30%,104,77.00%,126,77,61.10%,99,78.60%,Y
2014-2015,19,64733,129874,Los Angeles,Los Angeles Unified,Community Preparatory Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1656,Directly funded,Y,K,8,73,9,12.30%,9,12.30%,72,9,12.50%,9,12.50%,Y
2014-2015,19,64733,130997,Los Angeles,Los Angeles Unified,Sylmar Biotech Health Academy,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,278,188,67.60%,216,77.70%,278,188,67.60%,216,77.70%,Y
2014-2015,19,64733,1930064,Los Angeles,Los Angeles Unified,William Tell Aggeler Opportunity High,Unified School District,Opportunity Schools,Opportunity School,,N,,,N,7,12,99,64,64.60%,64,64.60%,49,42,85.70%,42,85.70%,Y
2014-2015,19,64733,1930296,Los Angeles,Los Angeles Unified,Harris Newmark Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,155,113,72.90%,115,74.20%,57,45,78.90%,46,80.70%,Y
2014-2015,19,64733,1930387,Los Angeles,Los Angeles Unified,Central High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,566,286,50.50%,297,52.50%,186,130,69.90%,136,73.10%,Y
2014-2015,19,64733,1930403,Los Angeles,Los Angeles Unified,Whitney Young Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,63,47,74.60%,48,76.20%,52,40,76.90%,41,78.80%,Y
2014-2015,19,64733,1930429,Los Angeles,Los Angeles Unified,View Park Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,79,42,53.20%,42,53.20%,57,31,54.40%,31,54.40%,Y
2014-2015,19,64733,1930486,Los Angeles,Los Angeles Unified,Moneta Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,69,50,72.50%,53,76.80%,40,31,77.50%,33,82.50%,Y
2014-2015,19,64733,1930551,Los Angeles,Los Angeles Unified,San Antonio Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,161,76,47.20%,80,49.70%,89,49,55.10%,53,59.60%,Y
2014-2015,19,64733,1930577,Los Angeles,Los Angeles Unified,Pueblo de Los Angeles Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,75,56,74.70%,56,74.70%,40,32,80.00%,32,80.00%,Y
2014-2015,19,64733,1930619,Los Angeles,Los Angeles Unified,Harold McAlister High (Opportunity),Unified School District,Opportunity Schools,Opportunity School,,N,,,N,6,12,211,132,62.60%,133,63.00%,132,90,68.20%,91,68.90%,Y
2014-2015,19,64733,1930650,Los Angeles,Los Angeles Unified,Phineas Banning Senior High,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,"2,057","1,365",66.40%,"1,561",75.90%,"1,969","1,311",66.60%,"1,501",76.20%,Y
2014-2015,19,64733,1930692,Los Angeles,Los Angeles Unified,Thomas Riley High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,7,12,167,131,78.40%,131,78.40%,92,79,85.90%,79,85.90%,Y
2014-2015,19,64733,1930734,Los Angeles,Los Angeles Unified,Angel's Gate (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,90,67,74.40%,73,81.10%,66,50,75.80%,53,80.30%,Y
2014-2015,19,64733,1930783,Los Angeles,Los Angeles Unified,Phoenix Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,80,49,61.30%,51,63.80%,61,35,57.40%,37,60.70%,Y
2014-2015,19,64733,1930791,Los Angeles,Los Angeles Unified,Mt. Lukens Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,79,36,45.60%,40,50.60%,38,20,52.60%,22,57.90%,Y
2014-2015,19,64733,1930866,Los Angeles,Los Angeles Unified,Bell Senior High,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,"3,256","2,722",83.60%,"2,919",89.60%,"3,147","2,637",83.80%,"2,827",89.80%,Y
2014-2015,19,64733,1930924,Los Angeles,Los Angeles Unified,Belmont Senior High,Unified School District,High Schools (Public),Traditional,Provision 2                                       ,N,,,N,9,12,978,778,79.60%,790,80.80%,906,726,80.10%,737,81.30%,Y
2014-2015,19,64733,1930940,Los Angeles,Los Angeles Unified,John R. Wooden High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,122,75,61.50%,79,64.80%,63,44,69.80%,47,74.60%,Y
2014-2015,19,64733,1930973,Los Angeles,Los Angeles Unified,Simon Rodia Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,73,49,67.10%,50,68.50%,56,36,64.30%,37,66.10%,Y
2014-2015,19,64733,1931047,Los Angeles,Los Angeles Unified,Birmingham Community Charter High,Unified School District,High Schools (Public),Traditional,,Y,1119,Directly funded,Y,9,12,"3,269","2,133",65.20%,"2,662",81.40%,"3,180","2,078",65.30%,"2,595",81.60%,Y
2014-2015,19,64733,1931054,Los Angeles,Los Angeles Unified,Westside Global Awareness Magnet,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2                                       ,N,,,N,K,8,388,235,60.60%,255,65.70%,388,235,60.60%,255,65.70%,Y
2014-2015,19,64733,1931070,Los Angeles,Los Angeles Unified,Mid-City's Prescott School of Enriched Sciences,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Provision 2                                       ,N,,,N,K,8,249,152,61.00%,182,73.10%,249,152,61.00%,182,73.10%,Y
2014-2015,19,64733,1931336,Los Angeles,Los Angeles Unified,Cheviot Hills Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,80,36,45.00%,38,47.50%,60,29,48.30%,31,51.70%,Y
2014-2015,19,64733,1931377,Los Angeles,Los Angeles Unified,Amelia Earhart Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,105,70,66.70%,79,75.20%,42,32,76.20%,37,88.10%,Y
2014-2015,19,64733,1931385,Los Angeles,Los Angeles Unified,Albert Einstein Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,70,45,64.30%,47,67.10%,46,33,71.70%,35,76.10%,Y
2014-2015,19,64733,1931393,Los Angeles,Los Angeles Unified,Highland Park Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,63,34,54.00%,37,58.70%,41,26,63.40%,28,68.30%,Y
2014-2015,19,64733,1931435,Los Angeles,Los Angeles Unified,Robert H. Lewis Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,100,40,40.00%,40,40.00%,57,25,43.90%,25,43.90%,Y
2014-2015,19,64733,1931450,Los Angeles,Los Angeles Unified,Jack London Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,157,57,36.30%,70,44.60%,48,26,54.20%,35,72.90%,Y
2014-2015,19,64733,1931468,Los Angeles,Los Angeles Unified,Metropolitan Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,171,139,81.30%,148,86.50%,79,68,86.10%,72,91.10%,Y
2014-2015,19,64733,1931476,Los Angeles,Los Angeles Unified,Canoga Park Senior High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,602",997,62.20%,"1,117",69.70%,"1,506",957,63.50%,"1,072",71.20%,Y
2014-2015,19,64733,1931484,Los Angeles,Los Angeles Unified,Mission Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,68,51,75.00%,55,80.90%,30,24,80.00%,28,93.30%,Y
2014-2015,19,64733,1931500,Los Angeles,Los Angeles Unified,Owensmouth Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,122,73,59.80%,79,64.80%,48,32,66.70%,35,72.90%,Y
2014-2015,19,64733,1931518,Los Angeles,Los Angeles Unified,George S. Patton Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,64,37,57.80%,45,70.30%,42,28,66.70%,33,78.60%,Y
2014-2015,19,64733,1931526,Los Angeles,Los Angeles Unified,Carson Senior High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,572",787,50.10%,950,60.40%,"1,504",755,50.20%,914,60.80%,Y
2014-2015,19,64733,1931534,Los Angeles,Los Angeles Unified,Will Rogers Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,216,138,63.90%,149,69.00%,79,62,78.50%,69,87.30%,Y
2014-2015,19,64733,1931559,Los Angeles,Los Angeles Unified,Stoney Point Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,158,91,57.60%,103,65.20%,60,43,71.70%,49,81.70%,Y
2014-2015,19,64733,1931633,Los Angeles,Los Angeles Unified,Diane S. Leichman Special Education Center,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,6,12,189,61,32.30%,84,44.40%,46,18,39.10%,23,50.00%,Y
2014-2015,19,64733,1931658,Los Angeles,Los Angeles Unified,Frank Lanterman,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,6,12,179,102,57.00%,114,63.70%,129,82,63.60%,90,69.80%,Y
2014-2015,19,64733,1931682,Los Angeles,Los Angeles Unified,Zane Grey Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,146,75,51.40%,79,54.10%,60,41,68.30%,43,71.70%,Y
2014-2015,19,64733,1931690,Los Angeles,Los Angeles Unified,Independence Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,123,52,42.30%,57,46.30%,69,29,42.00%,33,47.80%,Y
2014-2015,19,64733,1931708,Los Angeles,Los Angeles Unified,Chatsworth Charter High,Unified School District,High Schools (Public),Traditional,,Y,1581,Locally funded,N,9,12,"2,225","1,026",46.10%,"1,281",57.60%,"2,152",998,46.40%,"1,250",58.10%,Y
2014-2015,19,64733,1931716,Los Angeles,Los Angeles Unified,Valley Alternative Magnet,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,616,307,49.80%,378,61.40%,615,306,49.80%,377,61.30%,Y
2014-2015,19,64733,1931856,Los Angeles,Los Angeles Unified,Whitman Continuation,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,82,66,80.50%,71,86.60%,44,32,72.70%,36,81.80%,Y
2014-2015,19,64733,1931864,Los Angeles,Los Angeles Unified,Grover Cleveland Charter High,Unified School District,High Schools (Public),Traditional,,Y,1571,Locally funded,N,9,12,"3,241","1,644",50.70%,"1,966",60.70%,"3,101","1,563",50.40%,"1,880",60.60%,Y
